urn,local_authority,school,postcode,easting,northing,lsoa,type,phase,no2_avg_2013,above_40_2013,no2_avg_2016,above_40_2016
100747,Lewisham,Prendergast Ladywell School,SE4 1SA,537154,174148,E01003225,Foundation school,All through,33.6,No,34.6,No
100748,Lewisham,Addey and Stanhope School,SE14 6TJ,537032,176920,E01003207,Voluntary aided school,Secondary,44.3,Yes,41.4,Yes
100749,Lewisham,"Trinity Church of England School, Lewisham",SE12 8PD,539574,174825,E01003286,Voluntary aided school,All through,34.1,No,34.4,No
100750,Lewisham,Prendergast School,SE4 1LE,537237,175236,E01003276,Voluntary aided school,Secondary,34.2,No,35.4,No
100752,Lewisham,Bonus Pastor Catholic College,BR1 5PZ,539024,171621,E01003353,Voluntary aided school,Secondary,32.4,No,32.5,No
100754,Lewisham,St Dunstan's College,SE6 4TY,537093,173490,E01003317,Other independent school,Not applicable,40.9,Yes,38.7,No
100756,Greenwich,Blackheath High School,SE3 7AG,540084,177322,E01001580,Other independent school,Not applicable,37.0,No,37.1,No
100757,Lewisham,Sydenham High School GDST,SE26 6BL,534676,171482,E01003332,Other independent school,Not applicable,34.9,No,34.9,No
100760,Lewisham,Brent Knoll School,SE23 2QU,536369,172165,E01003193,Foundation special school,Not applicable,36.9,No,36.2,No
100763,Lewisham,New Woodlands School,BR1 5PD,539238,171938,E01003239,Community special school,Not applicable,31.4,No,32,No
100765,Lewisham,Greenvale School,SE6 1UF,536370,172177,E01003347,Community special school,Not applicable,37.0,No,36.3,No
100766,Lewisham,Watergate School,SE6 3WG,537621,171451,E01003192,Foundation special school,Not applicable,34.5,No,34,No
100767,Southwark,Kintore Way Nursery School and Children's Centre,SE1 3BW,533656,179025,E01003978,Local authority nursery school,Nursery,43.0,Yes,43.1,Yes
100768,Southwark,Ann Bernadt Nursery School,SE15 6DT,533573,177117,E01004011,Local authority nursery school,Nursery,39.8,No,40.2,Yes
100769,Southwark,Dulwich Wood Nursery School,SE21 8QS,533578,172013,E01003947,Local authority nursery school,Nursery,33.7,No,34.4,No
100770,Southwark,Nell Gwynn Nursery School,SE15 2TT,534515,176877,E01032805,Local authority nursery school,Nursery,44.6,Yes,42.8,Yes
100771,Southwark,Grove Children & Family Centre,SE15 6BY,533288,177471,E01003916,Local authority nursery school,Nursery,39.5,No,40.2,Yes
100774,Southwark,Albion Primary School,SE16 7JD,535335,179689,E01004030,Community school,Primary,46.0,Yes,45.3,Yes
100775,Southwark,Bellenden Primary School,SE15 4JP,534319,175761,E01004062,Community school,Primary,41.8,Yes,39.4,No
100780,Southwark,Camelot Primary School,SE15 1QP,534575,177497,E01003983,Community school,Primary,38.5,No,39.2,No
100781,Southwark,Charles Dickens Primary School,SE1 1AF,532214,179740,E01003929,Foundation school,Primary,49.3,Yes,47.9,Yes
100782,Southwark,Cobourg Primary School,SE5 0JD,533624,177958,E01003964,Community school,Primary,38.6,No,39.8,No
100783,Southwark,Comber Grove School,SE5 0LQ,532228,177123,E01003920,Community school,Primary,41.9,Yes,41.9,Yes
100784,Southwark,Crampton Primary,SE17 3LE,531943,178490,E01003995,Community school,Primary,42.9,Yes,43.6,Yes
100785,Southwark,Crawford Primary School,SE5 9NF,532360,176513,E01003922,Community school,Primary,41.1,Yes,40.8,Yes
100786,Southwark,Dog Kennel Hill School,SE22 8AB,533269,175790,E01004052,Community school,Primary,39.2,No,39.2,No
100790,Southwark,Goodrich Community Primary School,SE22 0EP,534340,174098,E01003957,Community school,Primary,34.3,No,35.2,No
100791,Southwark,Grange Primary School,SE1 4RP,533244,179211,E01003979,Community school,Primary,50.0,Yes,48,Yes
100793,Southwark,Heber Primary School,SE22 9LA,533949,174413,E01003956,Community school,Primary,35.7,No,36.2,No
100794,Southwark,Hollydale Primary School,SE15 2AR,535369,176100,E01004000,Community school,Primary,40.5,Yes,39.5,No
100795,Southwark,Ilderton Primary School,SE16 3LA,535190,178023,E01003987,Community school,Primary,42.0,Yes,41.7,Yes
100796,Southwark,Ivydale Primary School,SE15 3BU,535830,175214,E01004002,Community school,Primary,35.2,No,36.1,No
100798,Southwark,John Ruskin Primary School and Language Classes,SE5 0PQ,532224,177728,E01003923,Community school,Primary,41.4,Yes,41.7,Yes
100800,Southwark,Keyworth Primary School,SE17 3TR,531692,178119,E01003999,Community school,Primary,42.3,Yes,43.1,Yes
100801,Southwark,Dulwich Wood Primary School,SE21 8NS,533366,172068,E01003946,Community school,Primary,33.5,No,34.4,No
100802,Southwark,Lyndhurst Primary School,SE5 8SN,532889,176333,E01003913,Community school,Primary,39.4,No,39.7,No
100803,Southwark,Michael Faraday School,SE17 2HR,532828,177988,E01003970,Community school,Primary,40.9,Yes,41.7,Yes
100808,Southwark,Riverside Primary School,SE16 4PS,534423,179618,E01004023,Community school,Primary,40.3,Yes,41.8,Yes
100809,Southwark,Robert Browning Primary School,SE17 1DQ,532525,178379,E01003963,Community school,Primary,41.7,Yes,42.5,Yes
100810,Southwark,Rotherhithe Primary School,SE16 2PL,535484,178762,E01004035,Community school,Primary,42.7,Yes,42.6,Yes
100811,Southwark,Snowsfields Primary School,SE1 3TD,533094,179804,E01003981,Community school,Primary,44.4,Yes,44.9,Yes
100812,Southwark,Southwark Park Primary School,SE16 2JH,534910,179032,E01004024,Community school,Primary,37.8,No,39.7,No
100813,Southwark,Tower Bridge Primary School,SE1 2AE,533570,179825,E01004027,Community school,Primary,55.2,Yes,50.5,Yes
100814,Southwark,Townsend Primary School,SE17 1HJ,533028,178832,E01003960,Community school,Primary,50.5,Yes,47.4,Yes
100815,Southwark,Victory Primary School,SE17 1PT,532497,178834,E01032722,Community school,Primary,49.9,Yes,47.6,Yes
100816,Southwark,Charlotte Sharman Primary School,SE11 4SN,531591,179128,E01003933,Foundation school,Primary,51.5,Yes,47.4,Yes
100817,Southwark,Phoenix Primary School,SE1 5JT,534192,178136,E01004038,Community school,Primary,42.7,Yes,42,Yes
100818,Southwark,Pilgrims' Way Primary School,SE15 1EF,535095,177517,E01003988,Community school,Primary,41.8,Yes,41.3,Yes
100819,Southwark,Alfred Salter Primary School,SE16 7LP,535897,179666,E01004032,Community school,Primary,37.4,No,39.3,No
100821,Southwark,Oliver Goldsmith Primary School,SE5 8UH,533566,176849,E01003914,Community school,Primary,45.0,Yes,43,Yes
100822,Southwark,Boutcher Church of England Primary School,SE1 3BW,533647,178966,E01003978,Voluntary aided school,Primary,42.3,Yes,42.6,Yes
100823,Southwark,Dulwich Village Church of England Infants' School,SE21 7AL,533016,174251,E01004069,Voluntary aided school,Primary,40.0,No,39.1,No
100824,Southwark,English Martyrs Roman Catholic Primary School,SE17 1QD,532857,178548,E01003961,Voluntary aided school,Primary,44.2,Yes,44.2,Yes
100825,Southwark,St James the Great Roman Catholic Primary School,SE15 5LP,533921,176804,E01004010,Voluntary aided school,Primary,45.2,Yes,42.8,Yes
100826,Southwark,St Francis RC Primary School,SE15 1RQ,534323,177446,E01003983,Voluntary aided school,Primary,39.7,No,39.9,No
100827,Southwark,St George's Church of England Primary School,SE5 7TF,533123,177455,E01003916,Voluntary aided school,Primary,40.4,Yes,40.8,Yes
100828,Southwark,St George's Cathedral Catholic Primary School,SE1 6HR,531527,179415,E01003930,Voluntary aided school,Primary,64.7,Yes,52,Yes
100829,Southwark,St James' Church of England Primary School,SE16 4SU,534223,179425,E01004022,Voluntary aided school,Primary,46.7,Yes,45.6,Yes
100830,Southwark,St John's and St Clement's Church of England Primary School,SE15 4DY,534049,175559,E01004065,Voluntary aided school,Primary,36.5,No,37.3,No
100831,Southwark,St John's Walworth Church of England Primary School,SE17 1NQ,532297,178577,E01032722,Voluntary aided school,Primary,48.0,Yes,46.3,Yes
100832,Southwark,St Joseph's Roman Catholic Primary School,SE16 4UP,534097,179619,E01004028,Voluntary aided school,Primary,43.9,Yes,44.1,Yes
100833,Southwark,St Joseph's Catholic Primary School,SE16 2TY,535330,179141,E01004031,Voluntary aided school,Primary,41.8,Yes,42.1,Yes
100834,Southwark,"Saint Joseph's Catholic Primary School, the Borough",SE1 1NJ,532485,179893,E01003929,Voluntary aided school,Primary,53.7,Yes,50.7,Yes
100835,Southwark,St Jude's Church of England Primary School,SE1 6HA,531616,179248,E01003930,Voluntary aided school,Primary,56.1,Yes,49.3,Yes
100836,Southwark,St Mary Magdalene Church of England Primary School,SE15 3RA,534646,176177,E01004068,Voluntary aided school,Primary,38.0,No,38.1,No
100837,Southwark,Peter Hills with St Mary's and St Paul's CofE Primary School,SE16 5ED,535947,180402,E01004055,Voluntary aided school,Primary,40.4,Yes,41.7,Yes
100839,Southwark,St Peter's Church of England Primary School,SE17 2HH,532484,178081,E01003969,Voluntary aided school,Primary,46.4,Yes,44.7,Yes
100840,Southwark,The Cathedral School of St Saviour and St Mary Overy,SE1 1HG,532389,179937,E01003929,Voluntary aided school,Primary,51.9,Yes,50.4,Yes
100841,Southwark,St John's Roman Catholic Primary School,SE16 6SD,536038,179747,E01004057,Voluntary aided school,Primary,36.7,No,38.8,No
100849,Southwark,St Saviour's and St Olave's Church of England School,SE1 4AN,532857,179036,E01003942,Voluntary aided school,Secondary,55.3,Yes,50.3,Yes
100851,Southwark,St Francesca Cabrini Primary School,SE23 3LE,535351,174032,E01004017,Voluntary aided school,Primary,39.1,No,38.1,No
100852,Southwark,St Anthony's Catholic Primary School,SE22 0LA,534062,174062,E01003958,Voluntary aided school,Primary,38.4,No,37.2,No
100853,Southwark,St Joseph's Catholic Junior School,SE5 0TS,532109,177303,E01003926,Voluntary aided school,Primary,41.3,Yes,41.6,Yes
100854,Southwark,St Joseph's Catholic Infants School,SE5 0TS,532109,177303,E01003926,Voluntary aided school,Primary,41.3,Yes,41.6,Yes
100855,Southwark,Friars Primary Foundation School,SE1 0RF,531739,179767,E01032583,Foundation school,Primary,48.2,Yes,47.5,Yes
100857,Southwark,The St Thomas the Apostle College,SE15 2EB,535096,176433,E01004004,Voluntary aided school,Secondary,36.8,No,37.4,No
100859,Southwark,Notre Dame Roman Catholic Girls' School,SE1 6EX,531562,179260,E01003930,Voluntary aided school,Secondary,56.4,Yes,49.9,Yes
100861,Southwark,Dulwich College,SE21 7LD,533191,172993,E01003951,Other independent school,Not applicable,36.6,No,36.8,No
100862,Southwark,Dulwich Prep London,SE21 7AA,533196,172317,E01003946,Other independent school,Not applicable,34.3,No,35,No
100863,Southwark,James Allen's Girls' School,SE22 8TE,533103,174616,E01004070,Other independent school,Not applicable,38.9,No,38.9,No
100864,Southwark,Alleyn's School,SE22 8SU,533359,174611,E01004072,Other independent school,Not applicable,37.5,No,37.9,No
100866,Southwark,Herne Hill School,SE24 9LY,532186,174572,E01004074,Other independent school,Not applicable,39.4,No,39.5,No
100872,Southwark,Highshore School,SE5 0TW,531952,177212,E01003926,Community special school,Not applicable,45.0,Yes,43.9,Yes
100875,Southwark,Evelina Hospital School,SE1 7EH,530620,179339,E01003013,Community special school,Not applicable,49.2,Yes,48.4,Yes
100876,Southwark,Bethlem and Maudsley Hospital School,BR3 3BX,537211,166495,E01000769,Community special school,Not applicable,28.5,No,29.6,No
100878,Southwark,Haymerle School,SE15 6SY,534130,177566,E01003990,Community special school,Not applicable,38.1,No,39.2,No
100879,Southwark,Beormund Primary School,SE1 3PS,532777,179711,E01003981,Community special school,Not applicable,46.2,Yes,46.6,Yes
100880,Southwark,Tuke School,SE15 6ER,533550,177449,E01004012,Community special school,Not applicable,37.9,No,39.2,No
100881,Southwark,Cherry Garden School,SE15 5BB,533976,176559,E01004067,Community special school,Not applicable,43.5,Yes,43.6,Yes
100882,Tower Hamlets,Childrens House Nursery School,E3 3HL,537629,182680,E01004236,Local authority nursery school,Nursery,38.9,No,39.5,No
100884,Tower Hamlets,Columbia Market Nursery School,E2 7PG,533684,182811,E01004311,Local authority nursery school,Nursery,46.8,Yes,46.9,Yes
100885,Tower Hamlets,Old Church Nursery School,E1 0RJ,535782,181478,E01004288,Local authority nursery school,Nursery,38.4,No,40.5,Yes
100886,Tower Hamlets,Rachel Keeling Nursery School,E2 0PS,535568,182775,E01004260,Local authority nursery school,Nursery,39.3,No,40.9,Yes
100887,Tower Hamlets,Alice Model Nursery School,E1 4NQ,535617,182047,E01004290,Local authority nursery school,Nursery,46.3,Yes,43.8,Yes
100888,Tower Hamlets,Harry Roberts Nursery School,E1 4PZ,536179,182059,E01004284,Local authority nursery school,Nursery,37.8,No,39.7,No
100889,Tower Hamlets,London East Alternative Provision,E1 4EE,535593,182316,E01004263,Pupil referral unit,Not applicable,39.8,No,41.5,Yes
100890,Tower Hamlets,Ben Jonson Primary School,E1 4PZ,536179,182059,E01004284,Community school,Primary,37.8,No,39.7,No
100891,Tower Hamlets,Bonner Primary School,E2 0NF,535452,183006,E01004266,Community school,Primary,43.0,Yes,43.3,Yes
100892,Tower Hamlets,Old Palace Primary School,E3 3BT,537853,182838,E01004236,Community school,Primary,43.2,Yes,41.8,Yes
100893,Tower Hamlets,Canon Barnett Primary School,E1 7RQ,533888,181473,E01004309,Community school,Primary,57.5,Yes,56.4,Yes
100894,Tower Hamlets,Cayley Primary School,E14 7NG,536206,181504,E01004285,Community school,Primary,38.2,No,40.3,Yes
100895,Tower Hamlets,Blue Gate Fields Junior School,E1 0EH,535119,180864,E01004303,Community school,Primary,50.4,Yes,48.4,Yes
100896,Tower Hamlets,Chisenhale Primary School,E3 5QY,536115,183374,E01004234,Community school,Primary,39.2,No,40.9,Yes
100897,Tower Hamlets,Columbia Primary School,E2 7RG,533972,182914,E01004314,Community school,Primary,40.5,Yes,42.6,Yes
100898,Tower Hamlets,Cubitt Town Junior School,E14 3NE,538254,179195,E01004215,Community school,Primary,38.0,No,38.7,No
100900,Tower Hamlets,Cyril Jackson Primary School,E14 8HH,536813,180888,E01004255,Community school,Primary,41.6,Yes,42.2,Yes
100902,Tower Hamlets,Globe Primary School,E2 0JH,535260,182916,E01004266,Community school,Primary,43.0,Yes,43.3,Yes
100903,Tower Hamlets,Hague Primary School,E2 0BP,534743,182456,E01004211,Community school,Primary,40.5,Yes,42.5,Yes
100904,Tower Hamlets,Harbinger Primary School,E14 3QP,537560,178580,E01004275,Community school,Primary,38.5,No,39,No
100906,Tower Hamlets,John Scurr Primary School,E1 4AX,535216,182155,E01004207,Community school,Primary,39.6,No,41.3,Yes
100907,Tower Hamlets,Lawdale Junior School,E2 6LS,534502,182835,E01004204,Community school,Primary,40.6,Yes,42.5,Yes
100908,Tower Hamlets,Elizabeth Selby Infants' School,E2 6PP,534427,182833,E01004204,Community school,Primary,41.6,Yes,43.2,Yes
100911,Tower Hamlets,Marion Richardson Primary School,E1 0QF,535682,181244,E01004289,Community school,Primary,43.1,Yes,43.1,Yes
100912,Tower Hamlets,Marner Primary School,E3 3LL,537992,182318,E01004238,Community school,Primary,48.8,Yes,46.1,Yes
100913,Tower Hamlets,Mayflower Primary School,E14 6DU,537483,181055,E01004244,Community school,Primary,42.8,Yes,43.4,Yes
100914,Tower Hamlets,Mowlem Primary School,E2 9HE,535051,183434,E01004197,Community school,Primary,39.8,No,41.5,Yes
100915,Tower Hamlets,Blue Gate Fields Infants' School,E1 0EH,535119,180864,E01004303,Community school,Primary,50.4,Yes,48.4,Yes
100916,Tower Hamlets,Olga Primary School,E3 5DN,536311,183145,E01004230,Community school,Primary,40.0,Yes,40.9,Yes
100917,Tower Hamlets,Redlands Primary School,E1 3AQ,535276,181826,E01004283,Community school,Primary,39.9,No,41.2,Yes
100920,Tower Hamlets,Manorfield Primary School,E14 6QD,537943,181797,E01004248,Community school,Primary,38.0,No,39.7,No
100923,Tower Hamlets,Stewart Headlam Primary School,E1 5RE,534719,182243,E01004205,Community school,Primary,40.1,Yes,42.3,Yes
100926,Tower Hamlets,Virginia Primary School,E2 7NQ,533612,182593,E01004315,Community school,Primary,44.3,Yes,45.6,Yes
100927,Tower Hamlets,Wellington Primary School,E3 4NE,537160,182604,E01004267,Community school,Primary,38.9,No,39.8,No
100928,Tower Hamlets,Woolmore Primary School,E14 0EW,538273,180944,E01004219,Community school,Primary,61.5,Yes,54.1,Yes
100930,Tower Hamlets,Thomas Buxton Primary School,E1 5AR,534355,182089,E01004317,Community school,Primary,40.7,Yes,43.1,Yes
100931,Tower Hamlets,Seven Mills Primary School,E14 8LY,537259,179545,E01032772,Community school,Primary,37.4,No,39.1,No
100932,Tower Hamlets,Cubitt Town Infants' School,E14 3NE,538254,179195,E01004215,Community school,Primary,38.0,No,38.7,No
100934,Tower Hamlets,Osmani Primary School,E1 5AD,534348,182017,E01004308,Community school,Primary,40.8,Yes,43.2,Yes
100935,Tower Hamlets,Shapla Primary School,E1 8HY,534320,180791,E01004294,Community school,Primary,51.7,Yes,49.1,Yes
100936,Tower Hamlets,Hermitage Primary School,E1W 2PT,534344,180251,E01004292,Community school,Primary,40.2,Yes,42.9,Yes
100937,Tower Hamlets,Bangabandhu Primary School,E2 0LB,535234,182582,E01032787,Community school,Primary,40.0,No,41.7,Yes
100938,Tower Hamlets,Halley Primary School,E14 7SS,536272,181728,E01004285,Community school,Primary,39.0,No,40.7,Yes
100939,Tower Hamlets,Bigland Green Primary School,E1 2ND,534732,181144,E01004304,Community school,Primary,42.9,Yes,44,Yes
100940,Tower Hamlets,Kobi Nazrul Primary School,E1 1JP,534367,181447,E01004325,Community school,Primary,45.2,Yes,45.7,Yes
100941,Tower Hamlets,Smithy Street Primary School,E1 3BW,535263,181775,E01004324,Community school,Primary,39.3,No,41.1,Yes
100943,Tower Hamlets,William Davis Primary School,E2 6ET,534185,182356,E01004317,Community school,Primary,40.1,Yes,42.7,Yes
100944,Tower Hamlets,Christ Church CofE School,E1 6PU,533875,181751,E01004306,Voluntary aided school,Primary,43.1,Yes,44.3,Yes
100945,Tower Hamlets,Guardian Angels Catholic Primary School,E3 4RB,536313,182505,E01004232,Voluntary aided school,Primary,48.3,Yes,45,Yes
100946,Tower Hamlets,Stepney Greencoat Church of England Primary School,E14 7TF,536632,181305,E01004251,Voluntary aided school,Primary,40.4,Yes,41.5,Yes
100949,Tower Hamlets,St Agnes RC Primary School,E3 3ER,537541,182817,E01004237,Voluntary aided school,Primary,47.8,Yes,45.2,Yes
100950,Tower Hamlets,St Anne's Catholic Primary School,E1 5AW,534143,182018,E01004308,Voluntary aided school,Primary,39.6,No,42.6,Yes
100951,Tower Hamlets,St Edmund's Catholic School,E14 3RS,537362,178752,E01032783,Voluntary aided school,Primary,39.3,No,39.4,No
100953,Tower Hamlets,St John's Church of England Primary School,E2 9LR,535057,183029,E01004198,Voluntary aided school,Primary,44.6,Yes,44,Yes
100954,Tower Hamlets,St Luke's Church of England Primary School,E14 3EB,538579,178697,E01004218,Voluntary aided school,Primary,38.0,No,38.7,No
100956,Tower Hamlets,St Matthias Church of England Primary School,E2 6DY,533939,182322,E01004317,Voluntary aided school,Primary,43.7,Yes,45.1,Yes
100958,Tower Hamlets,St Paul with St Luke CofE Primary School,E3 4LA,536879,181745,E01004271,Voluntary aided school,Primary,42.4,Yes,43,Yes
100959,Tower Hamlets,St Paul's Whitechapel Church of England Primary School,E1 8HY,534320,180791,E01004294,Voluntary aided school,Primary,51.7,Yes,49.1,Yes
100960,Tower Hamlets,St Peter's London Docks CofE Primary School,E1W 3QT,535063,180371,E01004297,Voluntary aided school,Primary,39.4,No,41.6,Yes
100961,Tower Hamlets,St Saviour's Church of England Primary School,E14 6BB,537666,181580,E01004246,Voluntary aided school,Primary,38.2,No,40.2,Yes
100962,Tower Hamlets,English Martyrs Roman Catholic Primary School,E1 8DJ,533902,181086,E01032767,Voluntary aided school,Primary,56.2,Yes,50.5,Yes
100965,Tower Hamlets,Bow School,E3 3QW,538190,182375,E01004238,Community school,Secondary,51.3,Yes,48,Yes
100966,Tower Hamlets,Langdon Park Community School,E14 0RZ,538021,181467,E01004246,Community school,Secondary,38.2,No,39.9,No
100967,Tower Hamlets,Morpeth School,E2 0PX,535529,182654,E01004259,Community school,Secondary,38.0,No,40.3,Yes
100972,Tower Hamlets,Oaklands School,E2 6PR,534550,182928,E01004203,Community school,Secondary,40.4,Yes,42.3,Yes
100973,Tower Hamlets,Swanlea School,E1 5DJ,534690,181987,E01004205,Community school,Secondary,40.0,No,42.3,Yes
100974,Tower Hamlets,George Green's School,E14 3DW,538426,178457,E01004217,Voluntary controlled school,Secondary,37.6,No,38.5,No
100975,Tower Hamlets,Central Foundation Girls' School,E3 2AE,536855,182784,E01004229,Voluntary aided school,Secondary,42.6,Yes,42.8,Yes
100977,Tower Hamlets,Sir John Cass Foundation and Redcoat Church of England Secondary School,E1 0RH,535821,181528,E01004288,Voluntary aided school,Secondary,38.6,No,40.6,Yes
100978,Tower Hamlets,Bishop Challoner Girls' School,E1 0LB,535328,181182,E01004305,Voluntary aided school,Secondary,43.8,Yes,43.8,Yes
100979,Tower Hamlets,Raine's Foundation School,E2 9LY,534791,183010,E01004197,Voluntary aided school,Secondary,42.1,Yes,42.6,Yes
100980,Tower Hamlets,Gatehouse School,E2 9JG,535583,183278,E01004201,Other independent school,Not applicable,40.0,Yes,41.5,Yes
100982,Tower Hamlets,Madani Secondary Girls' School,E1 1HL,534514,181414,E01004325,Other independent school,Not applicable,47.7,Yes,47.2,Yes
100987,Tower Hamlets,Phoenix School,E3 2AD,536992,182799,E01004231,Community special school,Not applicable,44.2,Yes,43.5,Yes
100989,Tower Hamlets,Beatrice Tate School,E3 4PX,536736,182376,E01004269,Community special school,Not applicable,37.8,No,39.7,No
100990,Wandsworth,Balham Nursery School & Children's Centre Services,SW12 8JL,528360,173530,E01004544,Local authority nursery school,Nursery,36.3,No,36.7,No
100991,Wandsworth,Eastwood Nursery School,SW15 4EU,521997,174014,E01004568,Local authority nursery school,Nursery,35.2,No,35.3,No
100992,Wandsworth,Somerset Nursery School and Children's Centre,SW11 3ND,526857,176810,E01004583,Local authority nursery school,Nursery,40.7,Yes,40.8,Yes
100994,Wandsworth,Francis Barber Pupil Referral Unit,SW17 8HE,527840,171331,E01004527,Pupil referral unit,Not applicable,36.4,No,35.9,No
100995,Wandsworth,Alderbrook Primary School,SW12 8PP,528663,173802,E01004472,Community school,Primary,39.7,No,38.2,No
100996,Wandsworth,Allfarthing Primary School,SW18 2LR,526161,174286,E01004512,Community school,Primary,37.4,No,37.6,No
100997,Wandsworth,Beatrix Potter Primary School,SW18 3ER,526418,173238,E01004624,Community school,Primary,35.7,No,36.7,No
101001,Wandsworth,Brandlehow Primary School,SW15 2ED,524669,175124,E01033135,Community school,Primary,38.9,No,38.5,No
101002,Wandsworth,Broadwater Primary School,SW17 0DZ,527103,171838,E01004610,Community school,Primary,36.1,No,35.8,No
101005,Wandsworth,Earlsfield Primary School,SW18 3QQ,526162,172951,E01004496,Community school,Primary,39.6,No,38.3,No
101006,Wandsworth,Falconbrook Primary School,SW11 2LX,526881,175971,E01004541,Community school,Primary,42.3,Yes,41.1,Yes
101007,Wandsworth,Fircroft Primary School,SW17 7PP,527649,172521,E01004618,Community school,Primary,35.6,No,35.9,No
101009,Wandsworth,Furzedown Primary School,SW17 9TJ,528505,170892,E01004520,Community school,Primary,33.9,No,34.4,No
101011,Wandsworth,Honeywell Junior School,SW11 6EF,527750,174463,E01004558,Foundation school,Primary,39.2,No,38.7,No
101012,Wandsworth,Honeywell Infant School,SW11 6EF,527750,174463,E01004558,Foundation school,Primary,39.2,No,38.7,No
101013,Wandsworth,Hotham Primary School,SW15 1PN,523675,175472,E01004607,Community school,Primary,35.6,No,36.3,No
101014,Wandsworth,John Burns Primary School,SW11 5QR,528402,176123,E01004590,Community school,Primary,39.5,No,39.3,No
101016,Wandsworth,Penwortham Primary School,SW16 6RJ,528964,170848,E01004518,Community school,Primary,35.0,No,35,No
101017,Wandsworth,Ravenstone Primary School,SW12 9SS,528424,173004,E01004545,Community school,Primary,39.9,No,38,No
101018,Wandsworth,Riversdale Primary School,SW18 5JP,525248,173488,E01004593,Community school,Primary,38.9,No,38.1,No
101019,Wandsworth,Sellincourt Primary School,SW17 9SA,527435,170988,E01004530,Community school,Primary,34.9,No,34.9,No
101020,Wandsworth,Shaftesbury Park Primary School,SW11 5UW,528099,176014,E01004592,Community school,Primary,39.6,No,39.2,No
101021,Wandsworth,Smallwood Primary School and Language Unit,SW17 0TW,526650,171795,E01004615,Community school,Primary,36.6,No,35.8,No
101022,Wandsworth,Swaffield Primary School,SW18 2SA,526161,174028,E01004620,Community school,Primary,37.1,No,37.3,No
101024,Wandsworth,West Hill Primary School,SW18 5ST,525241,174576,E01004600,Community school,Primary,46.1,Yes,43.3,Yes
101026,Wandsworth,Sheringdale Primary School,SW18 5TR,524906,173501,E01004595,Community school,Primary,35.7,No,35.8,No
101027,Wandsworth,Southmead Primary School,SW19 6QT,524070,173321,E01004635,Community school,Primary,33.8,No,34.7,No
101028,Wandsworth,Granard Primary School,SW15 6XA,522909,174502,E01004645,Community school,Primary,33.9,No,34.7,No
101029,Wandsworth,Heathmere Primary School,SW15 4LJ,522275,173317,E01004570,Community school,Primary,33.0,No,33.9,No
101031,Wandsworth,Ronald Ross Primary School,SW19 6RY,524020,173827,E01004630,Community school,Primary,36.8,No,36.7,No
101032,Wandsworth,Albemarle Primary School,SW19 6JP,524238,172951,E01004635,Foundation school,Primary,33.8,No,34.4,No
101034,Wandsworth,"All Saints' CofE Primary School, Putney",SW15 1HL,523226,175760,E01004605,Voluntary aided school,Primary,37.4,No,37.1,No
101035,Wandsworth,Christ Church CofE Primary School,SW11 2TH,527406,175840,E01004536,Voluntary aided school,Primary,39.2,No,38.9,No
101036,Wandsworth,Holy Ghost Catholic Primary School,SW12 8QJ,528154,173676,E01004550,Voluntary aided school,Primary,35.7,No,36.4,No
101037,Wandsworth,Our Lady of Victories Catholic Primary School,SW15 1AW,523640,175351,E01004607,Voluntary aided school,Primary,36.3,No,36.7,No
101038,Wandsworth,Roehampton CofE Primary School,SW15 4AA,522568,173689,E01004572,Voluntary aided school,Primary,38.6,No,37.6,No
101041,Wandsworth,St Anne's CofE Primary School,SW18 2RU,525950,174606,E01004514,Voluntary aided school,Primary,47.0,Yes,43.6,Yes
101042,Wandsworth,St Boniface RC Primary School,SW17 8PP,527651,171395,E01004525,Voluntary aided school,Primary,41.1,Yes,38.5,No
101043,Wandsworth,St Faith's CofE Primary School,SW18 1AE,526093,174932,E01004510,Voluntary aided school,Primary,39.6,No,39.1,No
101044,Wandsworth,St George's CofE Primary School,SW8 4JS,529322,176967,E01004567,Voluntary aided school,Primary,38.8,No,40.3,Yes
101045,Wandsworth,St Joseph's RC Primary School,SW15 2QD,525119,174894,E01004511,Voluntary aided school,Primary,39.8,No,39.3,No
101046,Wandsworth,St Mary's CofE Primary School,SW15 1BA,523670,175603,E01004606,Voluntary aided school,Primary,36.2,No,36.6,No
101047,Wandsworth,Trinity St Mary's CofE Primary School,SW12 8DR,528296,173119,E01004545,Voluntary aided school,Primary,38.8,No,37.5,No
101048,Wandsworth,St Mary's RC Voluntary Aided Primary School,SW8 4BE,528837,176954,E01033100,Voluntary aided school,Primary,49.0,Yes,46.8,Yes
101049,Wandsworth,St Michael's CofE Primary School,SW18 5SQ,524889,173911,E01004504,Voluntary aided school,Primary,37.0,No,37,No
101050,Wandsworth,"Sacred Heart Catholic Primary School, Roehampton",SW15 5NX,522257,174642,E01004642,Voluntary aided school,Primary,37.9,No,37.4,No
101051,Wandsworth,Our Lady Queen of Heaven RC School,SW19 6AD,523701,173544,E01004631,Voluntary aided school,Primary,39.2,No,38.1,No
101052,Wandsworth,St Anselm's Catholic Primary School,SW17 8BS,528163,172354,E01004481,Voluntary aided school,Primary,43.1,Yes,39.9,No
101053,Wandsworth,Ernest Bevin College,SW17 7DF,527431,172548,E01004626,Community school,Secondary,34.9,No,35.5,No
