urn,local_authority,school,postcode,easting,northing,lsoa,type,phase,no2_avg_2013,above_40_2013,no2_avg_2016,above_40_2016
132137,Hackney,St John and St James CofE Primary School,E9 6DX,535310,185044,E01001735,Voluntary aided school,Primary,46.2,Yes,44.3,Yes
132151,Westminster,Portman Early Childhood Centre,NW8 8SU,527227,182275,E01033601,Local authority nursery school,Nursery,47.6,Yes,47.4,Yes
132169,Merton,Malmesbury Primary School,SM4 6HG,526267,166961,E01003438,Community school,Primary,33.9,No,33.3,No
132203,Enfield,Highfield Primary School,N21 3HE,532041,194019,E01001570,Community school,Primary,30.5,No,32.2,No
132237,Wandsworth,Thames Christian College,SW11 2HB,526851,175902,E01004535,Other independent school,Not applicable,40.9,Yes,40,Yes
132245,Camden,Kingsgate Primary School,NW6 4LB,525140,184253,E01000931,Community school,Primary,38.5,No,39.6,No
132253,Haringey,Seven Sisters Primary School,N15 5QE,532970,188826,E01002045,Community school,Primary,35.0,No,36.5,No
132256,Enfield,Highlands School,N21 1QQ,530985,196131,E01001473,Community school,Secondary,27.7,No,29.9,No
132263,Hounslow,Crane Park Primary School,TW13 5LN,512518,172690,E01002604,Community school,Primary,30.2,No,31.6,No
132264,Hounslow,Fairholme Primary School,TW14 8ET,508889,173237,E01002559,Community school,Primary,29.7,No,31.2,No
132266,Hounslow,Green Dragon Primary School,TW8 0BJ,518364,177913,E01002566,Community school,Primary,38.0,No,37.7,No
132711,Southwark,Harris Girls' Academy East Dulwich,SE22 0NR,535230,174963,E01004020,Academy sponsor led,Secondary,35.1,No,36.5,No
132727,Waltham Forest,Walthamstow Academy,E17 5DP,536929,190810,E01004346,Academy sponsor led,Secondary,36.4,No,36.6,No
132736,Hackney,"Tawhid Boys School, Tawhid Educational Trust",N16 6PA,533747,186842,E01001724,Other independent school,Not applicable,43.3,Yes,43,Yes
132766,Havering,Engayne Primary School,RM14 1SW,557104,188172,E01002259,Community school,Primary,24.0,No,25.1,No
132776,Croydon,CACFO UK Education Centre,CR7 8HQ,531996,169283,E01001147,Other independent school,Not applicable,36.6,No,35.7,No
132788,Kensington and Chelsea,The Lloyd Williamson School,W10 5SH,524162,181872,E01002853,Other independent school,Not applicable,44.2,Yes,42.8,Yes
132789,Newham,Sir John Heron Primary School,E12 5PY,542595,185608,E01003581,Community school,Primary,33.2,No,35,No
132791,Hackney,Rosemary Works School,N1 5PH,532865,183768,E01001752,Other independent school,Not applicable,42.0,Yes,43.3,Yes
132797,Tower Hamlets,London Islamic School,E1 2HX,534943,181482,E01004326,Other independent school,Not applicable,40.5,Yes,42.5,Yes
132800,Greenwich,Conway Primary School,SE18 1QY,545112,178560,E01001675,Community school,Primary,36.2,No,35.2,No
132812,Newham,Plaistow Primary School,E13 9DQ,540838,183368,E01003599,Community school,Primary,33.1,No,35.3,No
132816,Barking and Dagenham,Mayesbrook Park School,RM9 6TJ,547792,184149,E01000054,Pupil referral unit,Not applicable,30.1,No,31.3,No
132827,Greenwich,Eglinton Primary School,SE18 3PY,543464,177512,E01001698,Community school,Primary,32.1,No,33.8,No
132848,Waltham Forest,Lantern of Knowledge Secondary School,E10 6QT,538062,186913,E01004373,Other independent school,Not applicable,37.8,No,38.6,No
133042,Sutton,Sutton College of Learning for Adults,SM1 1EA,525783,164053,E01004142,Miscellaneous,Not applicable,36.9,No,34.6,No
133052,Hillingdon,London School of Theology,HA6 2UW,508684,191622,E01002472,Miscellaneous,Not applicable,25.9,No,27.5,No
133053,Kingston upon Thames,Richmond and Hillcroft Adult and Community College (Rhacc),KT6 6DF,518293,167244,E01002999,Further education,16 plus,30.9,No,31.3,No
133086,Greenwich,Wildwood Montessori School,SE3 7PA,539835,177566,E01001586,Miscellaneous,Not applicable,33.7,No,35.6,No
133131,Newham,The Service for Deaf and Partially Hearing Children,E13 9NB,541046,182696,E01003601,Miscellaneous,Not applicable,37.6,No,38,No
133144,Southwark,St John's and St Clement's Primary School Co Hearing Impaired Unit,SE15 4DY,534049,175559,E01004065,Miscellaneous,Not applicable,36.5,No,37.3,No
133165,Merton,Wimbledon School of Art,SW19 3QA,524415,169773,E01003385,Miscellaneous,Not applicable,32.7,No,33.3,No
133166,Southwark,Camberwell College of Arts,SE5 8UF,533393,176757,E01003914,Miscellaneous,Not applicable,45.2,Yes,43,Yes
133167,Southwark,London College of Printing & Distributive Trades,SE1 6SB,531909,178989,E01003933,Miscellaneous,Not applicable,67.7,Yes,55.9,Yes
133168,Westminster,Inchbald School of Design,SW1W 9BA,528188,178873,E01004687,Miscellaneous,Not applicable,47.7,Yes,46.5,Yes
133216,Redbridge,Early Years Assessment Service and Centre Co Manford Primary School,IG7 4BX,545550,192178,E01003727,Miscellaneous,Not applicable,26.5,No,28.4,No
133223,Lewisham,Allenby Tutorial Trust,SE23 1AT,535847,173422,E01003229,Miscellaneous,Not applicable,35.3,No,35.5,No
133247,Croydon,Hillcrest,SE19 1BY,532870,170843,E01001162,Miscellaneous,Not applicable,35.4,No,35.6,No
133249,Newham,Stratford Circus,E15 1BX,538897,184586,E01003617,Miscellaneous,Not applicable,44.2,Yes,42.1,Yes
133288,Tower Hamlets,St Elizabeth Catholic Primary School,E2 9JY,535266,183334,E01004201,Voluntary aided school,Primary,38.6,No,40.7,Yes
133289,Tower Hamlets,Bishop Challoner Boys' School,E1 0LB,535454,181196,E01004305,Voluntary aided school,Secondary,43.9,Yes,43.8,Yes
133307,Tower Hamlets,Mazahirul Uloom London School,E1 4AA,535764,182196,E01004262,Other independent school,Not applicable,46.1,Yes,43.6,Yes
133315,Lambeth,Kings Avenue School,SW4 8BQ,530026,174783,E01003029,Community school,Primary,41.7,Yes,41,Yes
133316,Harrow,Woodlands School,HA8 6JP,518666,190936,E01002120,Community special school,Not applicable,29.7,No,31,No
133317,Harrow,Kingsley High School,HA3 6ND,514316,191068,E01002139,Community special school,Not applicable,29.1,No,29.9,No
133343,Richmond upon Thames,Kew Riverside Primary School,TW9 4ES,519786,176433,E01033571,Community school,Primary,36.0,No,36.5,No
